Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,67.870003,68.839996,67.860001,68.150002,68.150002,7835500
2019-10-08,67.029999,67.180000,66.029999,66.400002,66.400002,13500700
2019-10-09,67.000000,67.769997,66.790001,67.430000,67.430000,8357800
2019-10-10,67.769997,69.290001,67.550003,68.620003,68.620003,9817000
2019-10-11,69.989998,70.930000,69.989998,70.099998,70.099998,14921700
2019-10-14,69.529999,70.500000,69.459999,70.239998,70.239998,11398600
2019-10-15,70.169998,72.080002,68.699997,71.220001,71.220001,22030100
2019-10-16,70.820000,71.459999,69.419998,69.500000,69.500000,17295400
2019-10-17,70.029999,70.339996,69.180000,69.599998,69.599998,11382800
2019-10-18,69.320000,70.089996,69.139999,69.739998,69.739998,10413600
