Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,40.599998,41.110001,40.549999,40.680000,40.680000,6323600
2019-10-08,40.049999,40.200001,39.689999,39.820000,39.820000,8309000
2019-10-09,40.189999,40.650002,40.029999,40.439999,40.439999,8955700
2019-10-10,40.860001,41.410000,40.750000,41.049999,41.049999,8207100
2019-10-11,42.000000,42.590000,41.900002,41.930000,41.930000,14914600
2019-10-14,41.770000,42.310001,41.680000,42.250000,42.250000,6644500
2019-10-15,42.389999,42.919998,41.910000,42.529999,42.529999,10112800
2019-10-16,42.590000,43.150002,42.450001,42.790001,42.790001,10088900
2019-10-17,44.369999,44.500000,43.439999,43.439999,43.439999,17965100
2019-10-18,43.529999,43.860001,43.230000,43.660000,43.660000,10493900
